Año;municipio;edad quinquenal;sexo;concepto;estado;valor
2005;Barcelona;de 85 a 89 años;mujeres;población;;1.202391601148722
2005;Barcelona;de 85 a 89 años;total;población;;1.6766316714530076
2005;Barcelona;de 90 a 94 años;hombres;población;;0.1785854401079672
2005;Barcelona;de 90 a 94 años;mujeres;población;;0.5558432591058173
2005;Barcelona;de 90 a 94 años;total;población;;0.7344286992137846
2005;Barcelona;de 95 a 99 años;hombres;población;;0.033331764041241
2005;Barcelona;de 95 a 99 años;mujeres;población;;0.1424917219842129
2005;Barcelona;de 95 a 99 años;total;población;;0.1758234860254539
2005;Barcelona;100 años o más;hombres;población;;0.0054611364813332
2005;Barcelona;100 años o más;mujeres;población;;0.021844545925333
2005;Barcelona;100 años o más;total;población;;0.0273056824066663
2005;Barcelona;total;hombres;población;;47.35891279443843
2005;Barcelona;total;mujeres;población;;52.64108720556157
2005;Barcelona;total;total;población;;1593075.0
2006;Barcelona;de 0 a 4 años;hombres;población;;2.135585282031288
2006;Barcelona;de 0 a 4 años;mujeres;población;;2.0526880260487967
2006;Barcelona;de 0 a 4 años;total;población;;4.188273308080085
2006;Barcelona;de 5 a 9 años;hombres;población;;1.952351828161649
2006;Barcelona;de 5 a 9 años;mujeres;población;;1.846908511573852
2006;Barcelona;de 5 a 9 años;total;población;;3.799260339735501
2006;Barcelona;de 10 a 14 años;hombres;población;;1.915107230808133
2006;Barcelona;de 10 a 14 años;mujeres;población;;1.8301546709583072
2006;Barcelona;de 10 a 14 años;total;población;;3.74526190176644
2006;Barcelona;de 15 a 19 años;hombres;población;;2.0703138137595745
2006;Barcelona;de 15 a 19 años;mujeres;población;;1.968482849423456
2006;Barcelona;de 15 a 19 años;total;población;;4.038796663183031
2006;Barcelona;de 20 a 24 años;hombres;población;;2.91386034646195
2006;Barcelona;de 20 a 24 años;mujeres;población;;2.8715086304077846
2006;Barcelona;de 20 a 24 años;total;población;;5.785368976869735
2006;Barcelona;de 25 a 29 años;hombres;población;;4.418155931544679
2006;Barcelona;de 25 a 29 años;mujeres;población;;4.213933465454079
2006;Barcelona;de 25 a 29 años;total;población;;8.632089396998758
2006;Barcelona;de 30 a 34 años;hombres;población;;4.764505774158229
